Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Series_Complete_Yes,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Additional_Doses,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen
04/22/2022,VI,148360,2900,39540,105920,56631,2088,15694,38843,16609.0,5641.0,10824.0,142.0
04/22/2022,AZ,14731620,608100,5635020,8488500,4471141,332983,1637143,2492966,1859431.0,815261.0,1018366.0,23949.0
04/22/2022,IN,13354980,605000,4693200,8056780,3685278,281300,1252508,2142988,1683612.0,655396.0,1005315.0,21370.0
04/22/2022,IA,6557955,289700,2517620,3750635,1951037,163116,714826,1072687,1030963.0,469211.0,547624.0,14071.0
04/22/2022,NM,4433045,187200,1732700,2513145,1486207,109863,561791,812253,734283.0,308106.0,415200.0,10715.0
04/22/2022,VA,19568685,780900,6950000,11837785,6232430,454372,2017199,3757116,2934412.0,1216829.0,1672599.0,44183.0
04/22/2022,KS,6000615,256000,2301240,3443375,1784634,126257,635692,1021916,758612.0,327553.0,420047.0,10773.0
04/22/2022,NY,45840955,1883300,16171100,27786555,14925799,1252231,4992046,8675236,6774927.0,2881426.0,3776830.0,116079.0
04/22/2022,WV,4046845,164100,1616920,2265825,1030109,60922,422445,546267,469144.0,221483.0,242544.0,5041.0
04/22/2022,FL,47830185,2372000,17709920,27748265,14353509,1359404,4868688,8085258,5736383.0,2462490.0,3161727.0,104730.0
04/22/2022,CO,12410375,490900,4564640,7354835,4037590,311984,1436262,2286511,2085205.0,920155.0,1138253.0,26117.0
04/22/2022,PA,30386525,1525100,11592560,17268865,8730783,723243,3122932,4883926,3701971.0,1620895.0,2020222.0,60779.0
04/22/2022,BP2,345530,16100,154020,175410,134543,13488,53620,67435,47649.0,29142.0,17842.0,643.0
04/22/2022,OR,9973785,462300,3758560,5752925,2930536,247068,1000317,1677466,1555240.0,659906.0,870759.0,23910.0
04/22/2022,PR,7440250,214500,2628820,4596930,2646381,139345,952285,1554635,1530993.0,607959.0,911648.0,11366.0
04/22/2022,MS,5504315,226600,2224860,3052855,1539307,86033,585203,866796,570301.0,265329.0,296144.0,8136.0
04/22/2022,NH,3473930,179400,1223840,2070690,952068,79008,342849,530106,416306.0,177895.0,230882.0,7512.0
04/22/2022,ME,3378250,152700,1330820,1894730,1066664,131743,384027,550064,593163.0,270994.0,310722.0,10831.0
04/22/2022,VT,1785550,72200,697280,1016070,505360,47346,178223,279521,303585.0,129960.0,169110.0,4498.0
04/22/2022,NJ,21895655,961400,7863580,13070675,6701745,515244,2308589,3876366,3161120.0,1343771.0,1751193.0,66076.0
04/22/2022,MP,124430,3600,25320,95510,43268,1158,5212,36897,20922.0,4147.0,16566.0,209.0
04/22/2022,PW,44990,3800,29000,12190,18128,2354,12661,3063,11324.0,10456.0,868.0,0.0
04/22/2022,LA,8190850,325100,3346480,4519270,2482371,180447,960413,1340405,974648.0,431911.0,529218.0,13435.0
04/22/2022,OH,23060255,982800,8667940,13409515,6813611,551955,2390883,3865318,3528075.0,1499960.0,1968219.0,58952.0
04/22/2022,NE,3942910,150100,1381580,2411230,1227854,88650,415600,721912,619562.0,243463.0,368734.0,6927.0
04/22/2022,TX,61405435,2629200,22046080,36730155,17765415,1357335,6100954,10306052,6675131.0,2909265.0,3665858.0,99777.0
04/22/2022,MT,1964495,104800,809100,1050595,605463,54952,237051,312946,287590.0,135033.0,147091.0,5098.0
04/22/2022,MA,16863610,617100,6396520,9849990,5428606,381219,1908112,3139067,2769693.0,1290735.0,1452040.0,26894.0
04/22/2022,AL,9631440,396700,4195860,5038880,2501448,165795,1029910,1305041,887113.0,436657.0,434538.0,15794.0
04/22/2022,MN,12580230,503400,4468620,7608210,3893763,328064,1301241,2262760,2231378.0,891452.0,1310738.0,28796.0
04/22/2022,NV,5912210,258900,2027600,3625710,1868613,172431,603841,1092275,717500.0,293957.0,411295.0,12243.0
04/22/2022,ND,1378100,52900,530620,794580,417984,36549,145510,235911,168701.0,77525.0,88658.0,2511.0
04/22/2022,HI,3446280,124400,1290120,2031760,1106299,65232,364592,676460,563303.0,251342.0,305786.0,6173.0
04/21/2022,MO,11529105,426700,4390560,6711845,3432778,237785,1166358,2027877,1449194.0,592983.0,838543.0,17592.0
04/21/2022,OR,9969285,462300,3758260,5748725,2930493,247063,1000293,1677453,1555180.0,659870.0,870736.0,23909.0
04/21/2022,IL,27257245,1165600,9486740,16604905,8685693,624287,2813543,5238431,4415974.0,1794658.0,2565948.0,53625.0
04/21/2022,MA,16832510,617000,6393420,9822090,5426580,381173,1907207,3137992,2766932.0,1289641.0,1450385.0,26882.0
04/21/2022,MD,15736170,606100,5369560,9760510,4559856,326415,1517665,2711225,2304198.0,961739.0,1306041.0,35523.0
04/21/2022,SD,1859265,90700,743400,1025165,541082,39051,197601,304391,224271.0,100936.0,120444.0,2878.0
04/21/2022,HI,3445580,124400,1289720,2031460,1106043,65222,364550,676256,563034.0,251222.0,305640.0,6170.0
04/21/2022,DE,2335555,98800,904600,1332155,670997,57075,235149,378061,303765.0,130460.0,168106.0,5143.0
04/21/2022,NJ,21865455,961400,7861980,13042075,6700072,515158,2307998,3875375,3158411.0,1342812.0,1749487.0,66034.0
04/21/2022,VA2,8036120,626400,3912380,3497340,2943564,233568,1443189,1266795,1134500.0,600101.0,513264.0,21135.0
04/21/2022,GA,21532695,829700,8411740,12291255,5793052,319570,2141544,3319889,2148381.0,958010.0,1163522.0,25131.0
04/21/2022,FL,47738385,2371300,17687720,27679365,14349717,1359189,4867634,8082827,5730079.0,2459862.0,3158191.0,104658.0
04/21/2022,TX,61280535,2622200,22036380,36621955,17759829,1357052,6099700,10302006,6667029.0,2905673.0,3661422.0,99706.0
04/21/2022,AK,1527365,85000,592220,850145,454876,41695,160809,252244,195254.0,86488.0,105789.0,2948.0
04/21/2022,MS,5496115,226600,2223560,3045955,1538859,85979,585051,866560,569711.0,265051.0,295839.0,8131.0
04/21/2022,WA,17668195,757400,6414600,10496195,5515797,452160,1897326,3162058,2868421.0,1243144.0,1586563.0,37719.0
04/21/2022,KS,5991315,255900,2300840,3434575,1783905,126201,635476,1021463,757911.0,327289.0,419630.0,10755.0
04/21/2022,IH2,2916095,107100,1289980,1519015,867833,38520,392519,436788,270019.0,128991.0,138683.0,2226.0
04/21/2022,FM,163400,12800,89940,60660,55655,12438,31559,11641,13682.0,12682.0,639.0,361.0
04/21/2022,IN,13319780,604800,4690000,8024980,3684586,281278,1252292,2142544,1682054.0,654792.0,1004400.0,21343.0
04/21/2022,MT,1962595,104800,808800,1048995,605430,54951,237035,312930,287550.0,135009.0,147075.0,5098.0
04/21/2022,WY,970185,48100,428840,493245,297836,26784,119707,151203,127984.0,58863.0,67239.0,1830.0
04/21/2022,DD2,6674410,210500,2188540,4275370,3167257,291937,978121,1896974,1841.0,590.0,1218.0,33.0
04/21/2022,ID,3371390,157100,1315580,1898710,963979,81304,329959,551885,404380.0,177277.0,220752.0,6245.0
04/21/2022,PA,30363525,1525100,11587060,17251365,8726883,723085,3121350,4881767,3698298.0,1619301.0,2018178.0,60744.0
04/21/2022,MI,21066610,939800,8331020,11795790,5994110,420582,2172407,3399985,3238696.0,1442599.0,1748149.0,47813.0
04/21/2022,NC,21864100,928600,8255960,12679540,6373960,483949,2205312,3684546,1678246.0,735173.0,914489.0,28557.0
04/21/2022,ND,1377400,52900,530620,793880,417886,36543,145465,235864,168613.0,77456.0,88639.0,2511.0
04/21/2022,US,720813845,30648200,267637580,422528065,219160055,16927437,76265234,125812315,99804811.0,42922200.0,55357867.0,1494412.0
